"ADDRESS","LATITUDE","LONGTITUDE","address"
"7 LOWER KENT RIDGE ROAD NATIONAL UNIVERSITY HOSPITAL SINGAPORE 119079","1.29619869406282","103.782537709497","National University Hospital"
"378 ALEXANDRA ROAD ALEXANDRA HOSPITAL SINGAPORE 159964","1.28812220833697","103.799444839251","Alexandra Hospital"
"1 JURONG EAST STREET 21 NG TENG FONG GENERAL HOSPITAL SINGAPORE 609606","1.33360619131534","103.745448362928","Ng Teng Fong General Hospital"
"1 JURONG EAST STREET 21 JURONG COMMUNITY HOSPITAL SINGAPORE 609606","1.33260943666141","103.746634963937","Jurong Community Hospital"
"1 HOSPITAL CRESCENT SINGAPORE GENERAL HOSPITAL SINGAPORE 169608","1.27964383970221","103.835541764663","Singapore General Hospital"
"1 ANCHORVALE STREET SENGKANG GENERAL HOSPITAL SINGAPORE 544835","1.39572457045088","103.892640159741","Sengkang General Hospital"
"6A SIMEI STREET 3 CHANGI GENERAL HOSPITAL SINGAPORE 529905","1.34131853771386","103.948193352903","Changi General Hospital"
"100 BUKIT TIMAH ROAD KK WOMEN'S AND CHILDREN'S HOSPITAL SINGAPORE 229899","1.31049007429064","103.84681332162","KK Women's and Children's Hospital"
"11 HOSPITAL CRESCENT NATIONAL CANCER CENTRE SINGAPORE SINGAPORE 169610","1.27931051283581","103.83653546255","National Cancer Centre Singapore"
"5 SECOND HOSPITAL AVENUE NATIONAL DENTAL CENTRE SINGAPORE 168938","1.27968649983656","103.838307412638","National Dental Centre Singapore"
"5 HOSPITAL DRIVE NATIONAL HEART CENTRE SINGAPORE SINGAPORE 169609","1.27858059651832","103.836119449693","National Heart Centre Singapore"
"11 JALAN TAN TOCK SENG NATIONAL NEUROSCIENCE INSTITUTE SINGAPORE 308433","1.32188664152296","103.845541030568","National Neuroscience Institute"
"11 JALAN TAN TOCK SENG TAN TOCK SENG HOSPITAL SINGAPORE 308433","1.32136864880679","103.845694041019","Tan Tock Seng Hospital"
"16 JALAN TAN TOCK SENG NATIONAL CENTRE FOR INFECTIOUS DISEASES SINGAPORE 308442","1.32139722330474","103.847798216735","National Centre for Infectious Diseases"
"90 YISHUN CENTRAL KHOO TECK PUAT HOSPITAL SINGAPORE 768828","1.42408101871819","103.83857888869","Khoo Teck Puat Hospital"
"10 BUANGKOK VIEW INSTITUTE OF MENTAL HEALTH SINGAPORE 539747","1.38211579491623","103.884815635642","Institute of Mental Health"
"2 YISHUN CENTRAL 2 YISHUN COMMUNITY HOSPITAL SINGAPORE 768024","1.4237674572872","103.837242211173","Yishun Community Hospital"
"1 MANDALAY ROAD NATIONAL SKIN CENTRE SINGAPORE 308205","1.32016421260992","103.848941747727","National Skin Centre"
