"ADDRESS","LATITUDE","LONGTITUDE","address"
"768 WOODLANDS AVENUE 6 OCBC WOODLANDS MART SINGAPORE 730768","1.44564787003157","103.798162285805","730768"
"2 WOODLANDS SECTOR 2 WESTLITE WOODLANDS SINGAPORE 737723","1.46150164054498","103.809471515497","737723"
"780 WOODLANDS CRESCENT WOODLANDS DEW SINGAPORE 730780","1.44834155029683","103.801057143543","730780"
"27 WOODLANDS SECTOR 1 WOODLANDS DORMITORY SINGAPORE 738252","1.45464655649548","103.804476731799","738252"
"604 SEMBAWANG ROAD OCBC SEMBAWANG SHOPPING CENTRE SINGAPORE 758459","1.44185325264629","103.824832415833","758459"
"190 WOODLANDS INDUSTRIAL PARK E7 WOODLANDS LODGE TWO SINGAPORE 757178","1.45123407130034","103.797900318242","757178"
"50 WOODLANDS INDUSTRIAL PARK E4 WOODLANDS LODGE ONE SINGAPORE 757388","1.45025875777465","103.794823954933","757388"
"468B ADMIRALTY DRIVE BLUE RIVERVIEW SINGAPORE 752468","1.45000861656514","103.814110899773","752468"
"463 SEMBAWANG DRIVE DBS SEMBAWANG DRIVE 463 SINGAPORE 750463","1.45555388401849","103.81464932384","750463"
"51 ADMIRALTY ROAD WEST COCHRANE LODGE I SINGAPORE 757443","1.45943633622992","103.820357133263","757443"
"49 ADMIRALTY ROAD WEST COCHRANE LODGE II SINGAPORE 757444","1.4613885444488","103.818111265911","757444"
"406A SEMBAWANG DRIVE FC SINGAPORE 751406","1.45273624315703","103.817249275768","751406"
"102 YISHUN AVENUE 5 OCBC YISHUN AVE 5 - 7 ELEVEN SINGAPORE 760102","1.43061830395071","103.828762985291","760102"
"761 YISHUN STREET 72 UOB YISHUN STREET 72 SINGAPORE 760761","1.42539842441665","103.833259035976","760761"
"925 YISHUN CENTRAL 1 SINGAPORE 760925","1.42750549654333","103.837125284539","760925"
"301 YISHUN AVENUE 2 OCBC YISHUN MRT STATION SINGAPORE 769093","1.4295887655538","103.835050382253","769093"
"930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098","1.42969848626288","103.835776491468","769098"
"239 YISHUN RING ROAD DBS NTUC YISHUN RING ROAD SINGAPORE 760239","1.43359453113734","103.839686662816","760239"
"293 YISHUN STREET 22 UOB YISHUN STREET 22 SINGAPORE 760293","1.43591598491658","103.837858420722","760293"
"291 YISHUN STREET 22 OCBC YISHUN ST 22 - 7 ELEVEN SINGAPORE 760291","1.43576230295726","103.836728943247","760291"
"327 YISHUN RING ROAD YISHUN RIVERGREEN SINGAPORE 760327","1.43007109914643","103.842396446526","760327"
"200 TURF CLUB ROAD PEGASUS INTERNATIONAL PREESCHOOL SINGAPORE 287994","1.33899462947416","103.793133804579","287994"
"41 SUNSET WAY CLEMENTI ARCADE SINGAPORE 597071","1.32355286918436","103.767515486547","597071"
"896 DUNEARN ROAD CHILDFIRST@DUNEARN PTE. LTD. SINGAPORE 589472","1.33669726404395","103.783723416319","589472"
"20 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289215","1.33149129253859","103.806809027748","289215"
"200 TURF CLUB ROAD PEGASUS INTERNATIONAL PREESCHOOL SINGAPORE 287994","1.33899462947416","103.793133804579","287994"
"5 BINJAI PARK BINJAI PARK SINGAPORE 589820","1.33586257729464","103.786616826552","589820"
"30 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289230","1.33176092057825","103.806586709072","289230"
"34 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289236","1.33183246511303","103.806492461663","289236"
"7 GREENDALE AVENUE GREENDALE COURT SINGAPORE 289504","1.33166476661284","103.807033788637","289504"
"29 BINJAI PARK BINJAI PARK SINGAPORE 589831","1.33661378718238","103.786974822749","589831"
"12 KRANJI ROAD DBS KRANJI LODGE SINGAPORE 739522","1.43069359839388","103.759237290643","739522"
"257 KRANJI ROAD KRANJI INDUSTRIAL ESTATE SINGAPORE 739503","1.43594536031501","103.754008428765","739503"
"21 CHOA CHU KANG NORTH 6 YEWTEE POINT SINGAPORE 689578","1.39706712846224","103.746637430812","689578"
"17 SUNGEI KADUT STREET 4 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729045","1.41757242617136","103.744217013051","729045"
"533 CHOA CHU KANG STREET 51 OCBC LIMBANG SHOPPING CENTRE SINGAPORE 680533","1.3920738867617","103.743099573442","680533"
"849 YISHUN RING ROAD OCBC YISHUN RING ROAD SINGAPORE 760849","1.41697224217054","103.835293763997","760849"
"1 ORCHID CLUB ROAD OCBC ORCHID COUNTRY CLUB - FAIRPRICE SINGAPORE 769162","1.41145912864712","103.845130941112","769162"
"845 YISHUN STREET 81 DBS YISHUN STREET 81 SINGAPORE 760845","1.416079404249","103.835019190337","760845"
"201 YISHUN AVENUE 2 OCBC KHATIB MRT STATION SINGAPORE 769092","1.41738337009565","103.832979908515","769092"
"780 YISHUN RING ROAD KHATIB VALE SINGAPORE 760780","1.42213865295029","103.832882657874","760780"
"418 YISHUN AVENUE 11 SINGAPORE 760418","1.4248993192219","103.847249789758","760418"
"414 YISHUN RING ROAD OCBC YISHUN RING ROAD - FAIRPRICE SINGAPORE 760414","1.42452849112151","103.84659554729","760414"
"355 SEMBAWANG WAY OCBC SEMBAWANG WAY - FAIRPRICE SINGAPORE 750355","1.44962495636994","103.818722450461","750355"
"30 SEMBAWANG DRIVE OCBC SUN PLAZA - FAIRPRICE SINGAPORE 757713","1.44819436804175","103.819464386349","757713"
"161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","1.37423951664303","103.839489194974","560161"
"16 JALAN KURAS SEMBAWANG HILLS ESTATE SINGAPORE 577729","1.37307949430462","103.829630839555","577729"
"2 JOO CHIAT ROAD SINGAPORE 420002","1.31553964446015","103.898764895693","420002"
"110 LENGKONG TIGA OCBC LENGKONG TIGA - FAIRPRICE SINGAPORE 410110","1.3239768755418","103.91068964878","410110"
