"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"2 ADAM ROAD ADAM ROAD FOOD CENTRE SINGAPORE 289876",1.3240827139625,103.814182099841,"Adam Road Food Centre","hawker"
"7 MAXWELL ROAD AMOY STREET FOOD CENTRE SINGAPORE 069111",1.2793398636571,103.846652482254,"Amoy Street Food Centre","hawker"
"1 BEDOK ROAD BEDOK FOOD CENTRE SINGAPORE 469572",1.32034716834128,103.955480570427,"Bedok Food Centre","hawker"
"38A BEO CRESCENT BEO CRESCENT MARKET SINGAPORE 169982",1.28883089150258,103.827353892228,"Beo Crescent Market","hawker"
"166 JALAN BESAR BERSEH FOOD CENTRE SINGAPORE 208877",1.30734410946371,103.856888783769,"Berseh Food Centre","hawker"
"51 UPPER BUKIT TIMAH ROAD BUKIT TIMAH MARKET SINGAPORE 588215",1.33945242854685,103.776007306701,"Bukit Timah Market","hawker"
"20 KENSINGTON PARK ROAD CHOMP CHOMP FOOD CENTRE SINGAPORE 557269",1.36423252476886,103.86652701738,"Chomp Chomp Food Centre","hawker"
"31 COMMONWEALTH CRESCENT COMMONWEALTH CRESCENT MARKET SINGAPORE 149644",1.30690013206335,103.800367271218,"Commonwealth Crescent Market","hawker"
"271 ONAN ROAD DUNMAN FOOD CENTRE SINGAPORE 424768",1.30941788760759,103.901825408227,"Dunman Food Centre","hawker"
"1220 EAST COAST PARKWAY EAST COAST LAGOON FOOD VILLAGE SINGAPORE 468960",1.30726106591172,103.934799737098,"East Coast Lagoon Food Village","hawker"
"1 GEYLANG SERAI GEYLANG SERAI MARKET SINGAPORE 402001",1.31672515005311,103.897977411392,"Geylang Serai Market","hawker"
"505 BEACH ROAD GOLDEN MILE FOOD CENTRE SINGAPORE 199583",1.30314175320333,103.863877615334,"Golden Mile Food Centre","hawker"
"1 LORONG MAMBONG HOLLAND VILLAGE MARKET & FOOD CENTRE SINGAPORE 277700",1.31107297402127,103.794876419662,"Holland Village Market & Food Centre","hawker"
"17 OLD AIRPORT ROAD KALLANG ESTATE FRESH MARKET AND FOOD CENTRE SINGAPORE 397972",1.30734398370473,103.884017699319,"Kallang Estate Market","hawker"
"270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270",1.30100149635856,103.854211650138,"Market Street Food Centre","hawker"
"1 KADAYANALLUR STREET MAXWELL FOOD CENTRE SINGAPORE 069184",1.28033142727315,103.844747227479,"Maxwell Food Centre","hawker"
"500 CLEMENCEAU AVENUE NORTH NEWTON FOOD CENTRE SINGAPORE 229495",1.31191552031274,103.839569728721,"Newton Food Centre","hawker"
"121 PASIR PANJANG ROAD PASIR PANJANG FOOD CENTRE SINGAPORE 118543",1.27591797439292,103.791410908656,"Pasir Panjang Food Centre","hawker"
"49A SERANGOON GARDEN WAY SERANGOON GARDEN MARKET SINGAPORE 555945",1.36308501111104,103.866724949118,"Serangoon Garden Market","hawker"
"590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419",1.37231949296183,103.829018145089,"Sembawang Hill Food Centre","hawker"
"3 YUNG SHENG ROAD TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499",1.3347210661928,103.721583797451,"Taman Jurong Market & Food Centre","hawker"
"48A TANGLIN HALT ROAD TANGLIN HALT MARKET SINGAPORE 148813",1.30054407507427,103.797737980247,"Tanglin Halt Market","hawker"
"30 SENG POH ROAD TIONG BAHRU MARKET SINGAPORE 168898",1.28478559810371,103.832181546885,"Tiong Bahru Market","hawker"
"70 ZION ROAD ZION RIVERSIDE FOOD CENTRE SINGAPORE 247792",1.2923422114207,103.831189023623,"Zion Riverside Food Centre","hawker"
