"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"15 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LRT STATION (BP1) SINGAPORE 689813",1.38475541089131,103.74453769781,"Choa Chu Kang LRT","lrt"
"50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION (BP2) SINGAPORE 688265",1.38029828742399,103.745291799824,"South View LRT","lrt"
"30 CHOA CHU KANG WAY KEAT HONG LRT STATION (BP3) SINGAPORE 688266",1.3786032506373,103.749055668925,"Keat Hong LRT","lrt"
"10 CHOA CHU KANG WAY TECK WHYE LRT STATION (BP4) SINGAPORE 688267",1.37668467920808,103.753712232337,"Teck Whye LRT","lrt"
"40 CHOA CHU KANG ROAD PHOENIX LRT STATION (BP5) SINGAPORE 689483",1.37861545104083,103.757995558346,"Phoenix LRT","lrt"
"11 PETIR ROAD BUKIT PANJANG LRT STATION (BP6) SINGAPORE 678268",1.37792694616982,103.763102931112,"Bukit Panjang LRT","lrt"
"31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269",1.37777204259082,103.766645782497,"Petir LRT","lrt"
"9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296",1.37613574334988,103.771261175571,"Pending LRT","lrt"
"20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939",1.38002223010088,103.772647370452,"Bangkit LRT","lrt"
"40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004",1.38457317668026,103.770887223018,"Fajar LRT","lrt"
"50 BUKIT PANJANG RING ROAD SEGAR LRT STATION (BP11) SINGAPORE 679940",1.38778508663361,103.769599685249,"Segar LRT","lrt"
"70 BUKIT PANJANG RING ROAD JELAPANG LRT STATION (BP12) SINGAPORE 679941",1.38673926997961,103.76453408646,"Jelapang LRT","lrt"
"90 BUKIT PANJANG RING ROAD SENJA LRT STATION (BP13) SINGAPORE 679942",1.38272547134453,103.76234425472,"Senja LRT","lrt"
"5 SENGKANG SQUARE SENGKANG LRT STATION (STC) SINGAPORE 545062",1.39160936379906,103.895442583336,"Sengkang LRT","lrt"
"10 COMPASSVALE STREET COMPASSVALE LRT STATION (SE1) SINGAPORE 545055",1.39449304450373,103.900492450944,"Compassvale LRT","lrt"
"70 RIVERVALE DRIVE RUMBIA LRT STATION (SE2) SINGAPORE 545054",1.39146849534132,103.90597359341,"Rumbia LRT","lrt"
"50 RIVERVALE DRIVE BAKAU LRT STATION (SE3) SINGAPORE 545053",1.38799431054768,103.905415300171,"Bakau LRT","lrt"
"20 RIVERVALE DRIVE KANGKAR LRT STATION (SE4) SINGAPORE 545052",1.38395911688913,103.90222537044,"Kangkar LRT","lrt"
"30 SENGKANG EAST AVENUE RANGGUNG LRT STATION (SE5) SINGAPORE 545046",1.38423355918277,103.897194667804,"Ranggung LRT","lrt"
"5 ANCHORVALE STREET CHENG LIM LRT STATION (SW1) SINGAPORE 545047",1.39627763344324,103.893797181731,"Cheng Lim LRT","lrt"
"35 ANCHORVALE STREET FARMWAY LRT STATION (SW2) SINGAPORE 545048",1.39717019591821,103.889304824196,"Farmway LRT","lrt"
"60 FERNVALE STREET KUPANG LRT STATION (SW3) SINGAPORE 797697",1.39821283031379,103.881256222255,"Kupang LRT","lrt"
"40 FERNVALE ROAD THANGGAM LRT STATION (SW4) SINGAPORE 797699",1.39731815581938,103.875635154729,"Thanggam LRT","lrt"
"10 FERNVALE ROAD FERNVALE LRT STATION (SW5) SINGAPORE 797698",1.39188588468304,103.876308630144,"Fernvale LRT","lrt"
"11 SENGKANG WEST AVENUE LAYAR LRT STATION (SW6) SINGAPORE 797700",1.39207983659997,103.880029600546,"Layar LRT","lrt"
"80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050",1.38934794658941,103.885844150116,"Tongkang LRT","lrt"
"60 SENGKANG EAST AVENUE RENJONG LRT STATION (SW8) SINGAPORE 545049",1.38670058991904,103.89062131608,"Renjong LRT","lrt"
"70 PUNGGOL CENTRAL PUNGGOL LRT STATION (PTC) SINGAPORE 828868",1.40519470149606,103.902411911915,"Punggol LRT","lrt"
"50 PUNGGOL FIELD COVE LRT STATION (PE1) SINGAPORE 828858",1.39928198837342,103.905961941214,"Cove LRT","lrt"
"60 PUNGGOL FIELD MERIDIAN LRT STATION (PE2) SINGAPORE 828857",1.3969120498774,103.908950224489,"Meridian LRT","lrt"
"70 PUNGGOL FIELD CORAL EDGE LRT STATION (PE3) SINGAPORE 828856",1.39390922863313,103.912580845515,"Coral Edge LRT","lrt"
"40 PUNGGOL EAST RIVIERA LRT STATION (PE4) SINGAPORE 828852",1.39451978540251,103.916169381157,"Riviera LRT","lrt"
"60 PUNGGOL DRIVE KADALOOR LRT STATION (PE5) SINGAPORE 828853",1.39950910636258,103.916574974234,"Kadaloor LRT","lrt"
"50 PUNGGOL DRIVE OASIS LRT STATION (PE6) SINGAPORE 828854",1.40228667971123,103.912727352412,"Oasis LRT","lrt"
"40 PUNGGOL DRIVE DAMAI LRT STATION (PE7) SINGAPORE 828855",1.40523483636957,103.908603542566,"Damai LRT","lrt"
"10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851",1.40961268528804,103.904831550608,"Sam Kee LRT","lrt"
"101 PONGGOL SEVENTEENTH AVENUE TECK LEE LRT STATION (PW2) SINGAPORE 828861",1.4127708937463,103.906577622768,"Teck Lee LRT","lrt"
"81 PUNGGOL WAY PUNGGOL POINT LRT STATION (PW3) SINGAPORE 828644",1.41684852031206,103.906650789313,"Punggol Point LRT","lrt"
"61 PUNGGOL WAY SAMUDERA LRT STATION (PW4) SINGAPORE 828645",1.41590172160383,103.902156317163,"Samudera LRT","lrt"
"41 PUNGGOL WAY NIBONG LRT STATION (PW5) SINGAPORE 828862",1.41187040942087,103.900313788123,"Nibong LRT","lrt"
"31 PUNGGOL WAY SUMANG LRT STATION (PW6) SINGAPORE 828863",1.40845241943079,103.898558450395,"Sumang LRT","lrt"
"21 PUNGGOL WAY SOO TECK LRT STATION (PW7) SINGAPORE 828864",1.40532331860455,103.897290522033,"Soo Teck LRT","lrt"
