"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690",1.33315281585758,103.742286332403,"Jurong East MRT","mrt"
"10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958",1.34903331201636,103.749566478309,"Bukit Batok MRT","mrt"
"802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083",1.35861159094192,103.751790910733,"Bukit Gombak MRT","mrt"
"10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810",1.38536316540225,103.744370779756,"Choa Chu Kang MRT","mrt"
"61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715",1.39753506936297,103.747405150236,"Yew Tee MRT","mrt"
"960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702",1.42508698073648,103.762137459497,"Kranji MRT","mrt"
"71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044",1.43252114855026,103.774074641403,"Marsiling MRT","mrt"
"11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736",1.43605761708128,103.787938777173,"Woodlands MRT","mrt"
"70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344",1.44058856161847,103.800990519771,"Admiralty MRT","mrt"
"11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775",1.44905082158502,103.820046140211,"Sembawang MRT","mrt"
"11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972",1.44307664075699,103.829702590959,"Canberra MRT","mrt"
"301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093",1.42944308477331,103.835005047246,"Yishun MRT","mrt"
"201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092",1.41738337009565,103.832979908243,"Khatib MRT","mrt"
"3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813",1.38175587099132,103.84494727118,"Yio Chu Kang MRT","mrt"
"2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812",1.36993284962262,103.84955809232,"Ang Mo Kio MRT","mrt"
"17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842",1.35131580146658,103.84914026532,"Bishan MRT","mrt"
"377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756",1.3404690010277,103.846799083148,"Braddell MRT","mrt"
"510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398",1.33262928096888,103.847502198048,"Toa Payoh MRT","mrt"
