"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907",1.4426347903311,103.800040119743,"ADMIRALTY PRIMARY SCHOOL","school"
"31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916",1.44589068910993,103.802398196596,"ADMIRALTY SECONDARY SCHOOL","school"
"10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643",1.43315271543517,103.832942401086,"AHMAD IBRAHIM PRIMARY SCHOOL","school"
"751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928",1.43605975368804,103.829718690077,"AHMAD IBRAHIM SECONDARY SCHOOL","school"
"100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646",1.3605834338904,103.833020333986,"AI TONG SCHOOL","school"
"2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016",1.29133439161334,103.824424680531,"ALEXANDRA PRIMARY SCHOOL","school"
"31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969",1.39036998654612,103.887165375933,"ANCHOR GREEN PRIMARY SCHOOL","school"
"19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785",1.38426429436736,103.841392081119,"ANDERSON PRIMARY SCHOOL","school"
"10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206",1.37434001701177,103.851554107068,"ANDERSON SECONDARY SCHOOL","school"
"4500 ANG MO KIO AVENUE 6 ANDERSON SERANGOON JUNIOR COLLEGE SINGAPORE 569843",1.37894408046934,103.845760935132,"ANDERSON SERANGOON JUNIOR COLLEGE","school"
"20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920",1.36932176584608,103.839630858752,"ANG MO KIO PRIMARY SCHOOL","school"
"6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362",1.36733710171069,103.842154973672,"ANG MO KIO SECONDARY SCHOOL","school"
"600 UPPER CHANGI ROAD ANGLICAN HIGH SCHOOL SINGAPORE 487012",1.33118109596833,103.941853443058,"ANGLICAN HIGH SCHOOL","school"
