"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"100 TRAS STREET 100 AM SINGAPORE 079027",1.27468281482263,103.843488359469,"100 AM","shopping mall"
"313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895",1.30138510214714,103.837684350436,"313@Somerset","shopping mall"
"8 KALLANG AVENUE APERIA SINGAPORE 339509",1.31086672816827,103.863929573292,"Aperia","shopping mall"
"2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002",1.32616307866261,103.843741438467,"Balestier Hill Shopping Centre","shopping mall"
"470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735",1.2981408343975,103.855635339249,"Bugis Cube","shopping mall"
"200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021",1.29911287475873,103.855411173758,"Bugis Junction","shopping mall"
"201 VICTORIA STREET BUGIS+ SINGAPORE 188067",1.29960368990297,103.854242347489,"Bugis+","shopping mall"
"13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905",1.29307884763132,103.851261982149,"Capitol Piazza","shopping mall"
"8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695",1.30152101873533,103.836429655016,"Cathay Cineleisure Orchard","shopping mall"
"176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843",1.30197836876806,103.839759023144,"The Centrepoint","shopping mall"
"180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539",1.31142103107683,103.856624019991,"City Square Mall","shopping mall"
"1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393",1.2927777312893,103.854173501417,"CityLink Mall","shopping mall"
"7 FRASER STREET DUO GALLERIA SINGAPORE 189356",1.29953434891664,103.85840168774,"Duo","shopping mall"
"14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213",1.30717698071189,103.833792932243,"Far East Plaza","shopping mall"
"107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105",1.29134759697794,103.849989790085,"Funan","shopping mall"
"1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994",1.29342273662815,103.832022135776,"Great World City","shopping mall"
"530 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310530",1.33216810552095,103.847086433041,"HDB Hub","shopping mall"
"2 ORCHARD TURN ION ORCHARD SINGAPORE 238801",1.30397974144505,103.832032328465,"ION Orchard","shopping mall"
"9 BISHAN PLACE JUNCTION 8 SHOPPING CENTRE SINGAPORE 579837",1.3504812534505,103.848760473211,"Junction 8","shopping mall"
"541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881",1.30508722710852,103.830722581168,"Liat Towers","shopping mall"
"304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863",1.30450604646634,103.833962339817,"Lucky Plaza","shopping mall"
"MARINA BAY SANDS",1.28399410139205,103.859450636919,"Marina Bay Sands","shopping mall"
